,Quarter,Banks,Gross Advances_Domestic Operation,Gross NPAs_Domestic Operation,Gross NPAs to Gross Advances (%)_Domestic Operation,Food Credit - Gross Advances_Domestic Operation,Food Credit - GNPAs_Domestic Operation,Food Credit - GNPA Ratio_Domestic Operation,Non-Food Credit - Gross Advances_Domestic Operation,Non-Food Credit - GNPAs_Domestic Operation,Non-Food Credit - GNPA Ratio_Domestic Operation,Agriculture and Allied Activities - Gross Advances_Domestic Operation,Agriculture and Allied Activities - Gross NPAs_Domestic Operation,Agriculture and Allied Activities - GNPA Ratio_Domestic Operation,Industry - Gross Advances_Domestic Operation,Industry - Gross NPAs_Domestic Operation,Industry - GNPA Ratio_Domestic Operation,Services - Gross Advances_Domestic Operation,Services  - Gross NPAs_Domestic Operation,Services - GNPA Ratio_Domestic Operation,Retail Loans - Gross Advances_Domestic Operation,Retail Loans - Gross NPAs_Domestic Operation,Retail Loans - GNPA Ratio_Domestic Operation,Other Non-food Credit - Gross Advances_Domestic Operation,Other Non-food Credit - GNPAs_Domestic Operation,Other Non-food Credit - GNPA Ratio_Domestic Operation,Retail Loans - Housing Loans  - Gross Advances_Domestic Operation,Retail Loans - Housing Loans  - GNPAs_Domestic Operation,Retail Loans - Housing Loans  - GNPA Ratio_Domestic Operation,Retail Loans - Vehicle/Auto Loans - Gross Advances_Domestic Operation,Retail Loans - Vehicle/Auto Loans - GNPAs_Domestic Operation,Retail Loans - Vehicle/Auto Loans - GNPA Ratio_Domestic Operation,Retail Loans - Credit Card Receivables - Gross Advances_Domestic Operation,Retail Loans - Credit Card Receivables - GNPAs_Domestic Operation,Retail Loans - Credit Card Receivables - GNPA Ratio_Domestic Operation,Retail Loans - Education - Gross Advances_Domestic Operation,Retail Loans - Education - GNPAs_Domestic Operation,Retail Loans - Education - GNPA Ratio_Domestic Operation,Other Retail Loans - Gross Advances_Domestic Operation,Other Retail Loans - GNPAs_Domestic Operation,Other Retail Loans - GNPA Ratio_Domestic Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
160,2012Q3,PUNJAB NATIONAL BANK,2740404693000,138233604000,5.044277,,,,67663700000,,,,,,,,,34999700000,,,298098188000,8396334000,2.816634,,,,144204116000,3807515000,2.640365,26453088000,664758000,2.512969,647260000,115204000,17.798721,32664000000,,,94129724000,3808857000,4.04639133967927,0,0,1,0
161,2012Q3,STATE BANK OF BIKANER AND JAIPUR,510476700000,16812300000,3.293451,,,,50536000,,,,,,,,,0,,,83314511000,1858927000,2.231216,,,,34124840000,741247000,2.172163,10064603000,111808000,1.110903,0,0,,50536000,,,39074532000,1005872000,2.57423940483791,0,0,1,0
162,2012Q3,STATE BANK OF HYDERABAD,789441396000,26034690000,3.297862,,,,,,,,,,,,,,,,162849406000,2791608000,1.714227,,,,85135687000,1052084000,1.235773,14394426000,284888000,1.979155,0,0,,,,,63319293000,1454636000,2.2973029720973,0,0,1,0
163,2012Q3,STATE BANK OF INDIA,31854056000000,1844871600000,23.166552,,,,707963200000,,,,,,,,,168321600000,,,7670360000000,202788400000,10.575168,,,,4335240000000,88494000000,8.165084,809651200000,12990800000,6.417972,0,0,,539641600000,,,1985827200000,101303600000,20.4053202615011,0,0,1,0
164,2012Q3,STATE BANK OF MYSORE,411018944000,17803041000,4.33144,,,,8379038000,,,,,,,,,2181580000,,,67613204000,1631270000,2.41265,,,,37465162000,709593000,1.894008,5817382000,172790000,2.970236,0,0,,6197458000,,,18133202000,748887000,4.12992145568113,0,0,1,0
165,2012Q3,STATE BANK OF PATIALA,651590400000,24422900000,3.748198,,,,3940000000,,,,,,,,,0,,,85084000000,2998700000,3.524399,,,,49364800000,1474200000,2.986338,16690800000,475900000,2.851271,0,0,,3940000000,,,15088400000,1048600000,6.94970971077119,0,0,1,0
166,2012Q3,STATE BANK OF TRAVANCORE,586672761000,17503493000,2.983519,,,,,,,,,,,,,,,,161296000000,4487300000,2.782028,,,,81916800000,782200000,0.954871,12652200000,505900000,3.998514,0,0,,,,,66727000000,3199200000,4.79446101278343,0,0,1,0
167,2012Q3,SYNDICATE BANK,1117973100000,30130000000,2.695056,,,,37059100000,,,,,,,,,13193200000,,,183879700000,9449700000,5.139066,,,,90267800000,4855000000,5.378441,10874200000,266000000,2.446157,459200000,54600000,11.890244,23865900000,,,58412600000,4274100000,7.31708569726395,0,0,1,0
168,2012Q3,UCO BANK,1086933100000,57766500000,5.314633,,,,,,,,,,,,,,,,79786836000,4804938000,6.022219,,,,43174031000,1958650000,4.536639,4767551000,125727000,2.63714,0,0,,,,,31845254000,2720561000,8.54306578933238,0,0,1,0
169,2012Q3,UNION BANK OF INDIA,1658627300000,62971200000,3.796585,,,,20079900000,,,,,,,,,0,,,174563900000,7771600000,4.452009,,,,110601500000,3825400000,3.458723,13779200000,755900000,5.485805,270500000,34200000,12.643253,20079900000,,,29832800000,3156100000,10.5792952723177,0,0,1,0
