,Quarter,Banks,R. Infrastructure_nan,R.a Transport (a.1 to a.8)_nan,R.a.5 Railways_nan,R.a.6 Urban Public Transport (except rolling stock in case of urban road transport)_nan,R.a.7 Shipyards_nan,R.a.8 Logistics Infrastructure_nan,R.b.1.1 Central Govt PSUs_nan,R.b. Energy (b.1 to b.6)_nan, R.b.1 Electricity Generation_nan,R.b.2.1 Central Govt PSUs_nan,R.b.2.2 State Electricity Boards_nan,R.b.2 Electricity Transmission_nan,R.b.2.2 Others_nan,R.b.3.1 Central Govt PSUs_nan,R.b.3.2 State Govt PSUs (incl. SEBs)_nan,R.b.3 Electricity Distribution_nan,R.b.4 Oil (storage and pipeline)_nan,R.b.5 Oil/Gas/Liquefied Natural Gas (LNG) storage facility_nan,R.b.6 Others_nan,R.c.1 Solid Waste Management_nan,R.c. Water and Sanitation (c.1 to c.7)_nan,R.c.3 Water treatment plants_nan,R.c.4 Water sanitation_nan,"R.c.5 Irrigation (dams, channels, embankments etc)_nan",R.c.6 Storm Water Drainage System_nan,R.c.7 Slurry Pipelines_nan,"R.d. Communication (d.1 to
d.3)_nan",R.d.2 Telecommunication towers_nan,R.e. Social and Commercial Infrastructure (e.1 to e.12)_nan,R.e.1 Education Institutions (capital stock)_nan,R.e.2 Hospitals (capital stock)_nan,R.e.3 Tourism - Three-star or higher category classified hotels located outside cities with population of more than 1 million_nan,R.e.4 Social &amp; Commercial Infrastructure_nan,R.e.5 Fertilizer (Capital investment)_nan,R.e.6 Post harvest storage infrastructure for agriculture and horticultural produce including cold storage_nan,R.e.7 Terminal markets_nan,R.e.8 Soil-testing laboratories_nan,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
44,2012Q3,INDUSIND BANK LTD,12947000000,0,0,0,,,,10023200000,0,,0,10023200000,10023200000,,,0,0,0,0,,0,,0,,,,0,0,2923800000,,,,2923800000,,,,,0,1,0,0
45,2012Q3,ING VYSYA BANK LTD,10050000000,0,0,0,,,,6248300000,1511200000,,1511200000,3833000000,3833000000,,,904100000,0,0,904100000,,0,,0,,,,0,0,3801700000,,,,3801700000,,,,,0,1,0,0
46,2012Q3,JAMMU & KASHMIR BANK LTD,27366900000,4700000,4700000,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,21630831000,21630831000,27362200000,,,,27362200000,,,,,0,1,0,0
47,2012Q3,KARNATAKA BANK LTD,18828831000,2936000,2936000,0,,,,14565097000,8063865000,,8063865000,5227892000,5227892000,,,1273340000,0,0,1273340000,,465437000,,465437000,,,,13859831000,13859831000,3795361000,,,,3795361000,,,,,0,1,0,0
48,2012Q3,KARUR VYSYA BANK LTD,20766148000,0,0,0,,,,17149841000,10321985000,,10321985000,6827856000,6827856000,,,0,0,0,0,,0,,0,,,,,,3616307000,,,,3616307000,,,,,0,1,0,0
49,2012Q3,KOTAK MAHINDRA BANK LTD.,9311898000,4553980000,0,4553980000,,,,4582928000,1937672000,,1937672000,2280346000,2280346000,,,364910000,22982000,0,341928000,,0,,0,,,,,,174990000,,,,174990000,,,,,0,1,0,0
50,2012Q3,LAKSHMI VILAS BANK LTD,5062772000,0,0,0,,,,2350037000,2347153000,,2347153000,0,0,,,2884000,0,2884000,0,,0,,0,,,,0,0,2712735000,,,,2712735000,,,,,0,1,0,0
51,2012Q3,NAINITAL BANK LTD,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,0,1,0,0
52,2012Q3,RBL BANK LIMITED,724364000,11680000,0,11680000,,,,712684000,0,,0,712684000,712684000,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,0,1,0,0
53,2012Q3,SOUTH INDIAN BANK LTD,29899019000,0,0,0,,,,26318694000,0,,0,26318694000,26318694000,,,0,0,0,0,,0,,0,,,,,,3580325000,,,,3580325000,,,,,0,1,0,0
54,2012Q3,TAMILNAD MERCANTILE BANK LTD,7456659000,0,0,0,,,,7456659000,757098000,,757098000,6699561000,6699561000,,,0,0,0,0,,0,,0,,,,600185000,600185000,0,,,,0,,,,,0,1,0,0
55,2012Q3,THE DHANALAKSHMI BANK LTD,1868674000,254998000,254998000,0,,,,1613676000,168261000,,168261000,1432554000,1432554000,,,12861000,12861000,0,0,,0,,0,,,,0,0,0,,,,0,,,,,0,1,0,0
56,2012Q3,YES BANK LTD.,38238700000,3939900000,3939900000,0,,,,17433100000,0,,0,16349800000,16349800000,,,1083300000,0,1083300000,0,,600000,,600000,,,,0,0,16865100000,,,,16865100000,,,,,0,1,0,0
57,2012Q3,ALLAHABAD BANK,153835600000,0,0,0,,,,153835600000,3353371000,,3353371000,150482229000,150482229000,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,0,0,1,0
58,2012Q3,ANDHRA BANK,77210800000,1619100000,1619100000,0,,,,75591700000,19123100000,,19123100000,54669600000,54669600000,,,1799000000,0,0,1799000000,,0,,0,,,,,,0,,,,0,,,,,0,0,1,0
59,2012Q3,BANK OF BARODA,155736856000,10165375000,58796000,10106579000,,,,140828946000,51125540000,,51125540000,89703406000,89703406000,,,0,0,0,0,,3325870000,,3325870000,,,,0,0,1416665000,,,,1416665000,,,,,0,0,1,0
60,2012Q3,BANK OF INDIA,203714307000,0,0,0,,,,203714307000,0,,0,122612259000,122612259000,,,81102048000,0,0,81102048000,,0,,0,,,,,,0,,,,0,,,,,0,0,1,0
61,2012Q3,BANK OF MAHARASHTRA,67395161000,3642000,3642000,0,,,,67391519000,52686200000,,52686200000,14705319000,14705319000,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,0,0,1,0
62,2012Q3,CANARA BANK,249763100000,0,0,0,,,,248373300000,159299300000,,159299300000,78376700000,78376700000,,,10697300000,0,5777000000,4920300000,,1389800000,,1389800000,,,,6801600000,6801600000,0,,,,0,,,,,0,0,1,0
63,2012Q3,CENTRAL BANK OF INDIA,234709499000,7034887000,1638200000,5396687000,,,,227674612000,175911115000,,175911115000,47048885000,47048885000,,,4714612000,632200000,1511900000,2570512000,,0,,0,,,,0,0,0,,,,0,,,,,0,0,1,0
64,2012Q3,CORPORATION BANK,114539687000,1424826000,0,1424826000,,,,98232213000,62775533000,,62775533000,35045072000,35045072000,,,411608000,0,411608000,0,,881804000,,881804000,,,,,,14000844000,,,,14000844000,,,,,0,0,1,0
65,2012Q3,DENA BANK,89371375000,355000,355000,0,,,,89317720000,53983100000,,53983100000,35334600000,35334600000,,,20000,0,20000,0,,53300000,,53300000,,,,3308200000,3308200000,0,,,,0,,,,,0,0,1,0
66,2012Q3,IDBI BANK LIMITED,207740546000,6272652000,0,6272652000,,,,200538601000,60654772000,,60654772000,101081147000,101081147000,,,38802682000,0,114691000,38687991000,,929293000,,929293000,,,,,,0,,,,0,,,,,0,1,1,0
67,2012Q3,INDIAN BANK,144409300000,0,0,0,,,,112066300000,75207000000,,75207000000,36859300000,36859300000,,,0,0,0,0,,0,,0,,,,,,32343000000,,,,32343000000,,,,,0,0,1,0
68,2012Q3,INDIAN OVERSEAS BANK,137995300000,9647600000,0,9647600000,,,,128347700000,0,,0,128347700000,128347700000,,,0,0,0,0,,0,,0,,,,11579394000,11579394000,0,,,,0,,,,,0,0,1,0
69,2012Q3,ORIENTAL BANK OF COMMERCE,170910144000,33939600000,0,33939600000,,,,136970544000,89530000000,,89530000000,47440544000,47440544000,,,0,0,0,0,,0,,0,,,,12310600000,12310600000,0,,,,0,,,,,0,0,1,0
70,2012Q3,PUNJAB AND SIND BANK,111642720000,0,0,0,,,,103039242000,64915243000,,64915243000,38123999000,38123999000,,,0,0,0,0,,28707000,,28707000,,,,0,0,8574771000,,,,8574771000,,,,,0,0,1,0
71,2012Q3,PUNJAB NATIONAL BANK,263934348000,2186905000,613300000,1573605000,,,,261674700000,84195400000,,84195400000,177479300000,177479300000,,,0,0,0,0,,72743000,,72743000,,,,0,0,0,,,,0,,,,,0,0,1,0
72,2012Q3,STATE BANK OF BIKANER AND JAIPUR,44920300000,3700000,3700000,0,,,,44728000000,27146200000,,27146200000,1798700000,1798700000,,,15783100000,0,4377700000,11405400000,,0,,0,,,,0,0,188600000,,,,188600000,,,,,0,0,1,0
73,2012Q3,STATE BANK OF HYDERABAD,77305501000,0,0,0,,,,77305501000,0,,0,50076070000,50076070000,,,27229431000,0,0,27229431000,,0,,0,,,,0,0,0,,,,0,,,,,0,0,1,0
