,Quarter,Banks,Cash Funds_Domestic Operation,Cash Funds_Global Operation,Cash Funds_Overseas Operation,Due from Banks/FIs/CCPs_Domestic Operation,Due from Banks/FIs/CCPs_Global Operation,Due from Banks/FIs/CCPs_Overseas Operation,SLR/Approved Securities_Domestic Operation,SLR/Approved Securities_Global Operation,SLR/Approved Securities_Overseas Operation,Non-SLR Investments_Domestic Operation,Non-SLR Investments_Global Operation,Non-SLR Investments_Overseas Operation,Net Loans and Advances_Domestic Operation,Net Loans and Advances_Global Operation,Net Loans and Advances_Overseas Operation,Fixed Assets (net)_Domestic Operation,Fixed Assets (net)_Global Operation,Fixed Assets (net)_Overseas Operation,Other Assets_Domestic Operation,Other Assets_Global Operation,Other Assets_Overseas Operation,Total Assets_Domestic Operation,Total Assets_Global Operation,Total Assets_Overseas Operation,Paid-up Share Capital_Domestic Operation,Paid-up Share Capital_Global Operation,Paid-up Share Capital_Overseas Operation,Reserves &amp; Surplus_Domestic Operation,Reserves &amp; Surplus_Global Operation,Reserves &amp; Surplus_Overseas Operation,Total Deposits (a+b)_Domestic Operation,Total Deposits (a+b)_Global Operation,Total Deposits (a+b)_Overseas Operation,a. Customer Deposits (i+ii+iii+iv+v)_Domestic Operation,a. Customer Deposits (i+ii+iii+iv+v)_Global Operation,a. Customer Deposits (i+ii+iii+iv+v)_Overseas Operation,i. Current Deposits_Domestic Operation,i. Current Deposits_Global Operation,i. Current Deposits_Overseas Operation,ii. Savings Deposits_Domestic Operation,ii. Savings Deposits_Global Operation,ii. Savings Deposits_Overseas Operation,iii. Time Deposits_Domestic Operation,iii. Time Deposits_Global Operation,iii. Time Deposits_Overseas Operation,iV. NRI Deposits_Domestic Operation,iV. NRI Deposits_Global Operation,iV. NRI Deposits_Overseas Operation,V. Certificates of Deposits _Domestic Operation,V. Certificates of Deposits _Global Operation,V. Certificates of Deposits _Overseas Operation,b. Deposits of Banks  (i+ii)_Domestic Operation,b. Deposits of Banks  (i+ii)_Global Operation,b. Deposits of Banks  (i+ii)_Overseas Operation,i. Banks in India_Domestic Operation,i. Banks in India_Global Operation,i. Banks in India_Overseas Operation,ii. Overseas Banks_Domestic Operation,ii. Overseas Banks_Global Operation,ii. Overseas Banks_Overseas Operation,Total Borrowings_Domestic Operation,Total Borrowings_Global Operation,Total Borrowings_Overseas Operation,Other liabilities_Domestic Operation,Other liabilities_Global Operation,Other liabilities_Overseas Operation,Total capital &amp; Liabilities_Domestic Operation,Total capital &amp; Liabilities_Global Operation,Total capital &amp; Liabilities_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
30,2012Q2,SBERBANK,2600000,,,1394863000,,,0,,,0,,,0,,,34431000,,,6477000,,,1438371000,,,1442299000,,,-14404000,,,817000,,,817000,,,817000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,9659000,,,1438371000,,,1,0,0,0
31,2012Q2,SBM BANK (INDIA) LTD.,274299000,,,989291000,,,3023537000,,,572385000,,,7317309000,,,316048000,,,416864000,,,12909733000,,,2650987000,,,714495000,,,9292662000,,,9251360000,,,2741453000,,,197609000,,,3640251000,,,672047000,,,2000000000,,,41302000,,,41302000,,,,,,0,,,251589000,,,12909733000,,,1,0,0,0
32,2012Q2,SHINHAN BANK,715730000,,,3454476000,,,2924760000,,,0,,,8500655000,,,44953000,,,418124000,,,16058698000,,,3543408000,,,1871045000,,,9421177000,,,9417538000,,,2346333000,,,238789000,,,6832416000,,,0,,,0,,,3639000,,,3639000,,,,,,516845000,,,706223000,,,16058698000,,,1,0,0,0
33,2012Q2,SOCIETE GENERALE,795408000,,,91083000,,,6932108000,,,8130531000,,,13645114000,,,242389000,,,1070594000,,,30907227000,,,7071022000,,,1504280000,,,11107428000,,,11035376000,,,1044977000,,,7484000,,,9977315000,,,5600000,,,0,,,72052000,,,72052000,,,,,,10702886000,,,521611000,,,30907227000,,,1,0,0,0
34,2012Q2,SONALI BANK,54493000,,,136380000,,,54800000,,,0,,,210175000,,,4965000,,,10447000,,,471260000,,,6148000,,,94323000,,,327253000,,,240312000,,,117288000,,,28318000,,,94706000,,,0,,,0,,,86941000,,,86941000,,,,,,0,,,43536000,,,471260000,,,1,0,0,0
35,2012Q2,STANDARD CHARTERED BANK,41815700000,,,8036500000,,,224636700000,,,52478800000,,,578480300000,,,25033600000,,,418189100000,,,1348670700000,,,16158000000,,,141111300000,,,630308900000,,,607474200000,,,123465800000,,,79946500000,,,302872200000,,,98993400000,,,2196300000,,,22834700000,,,22834700000,,,,,,140130400000,,,420962100000,,,1348670700000,,,1,0,0,0
36,2012Q2,UBS AG,859700000,,,2435100000,,,12630600000,,,24997000000,,,6499500000,,,57900000,,,38378100000,,,85857900000,,,19102400000,,,840700000,,,10718000000,,,10718000000,,,117400000,,,4000000,,,6122400000,,,4474200000,,,0,,,0,,,0,,,,,,14808600000,,,40388200000,,,85857900000,,,1,0,0,0
37,2012Q2,UNITED OVERSEAS BANK LTD,8842000,,,1511234000,,,49629000,,,0,,,0,,,10680000,,,38795000,,,1619180000,,,1549509000,,,-33947000,,,10000,,,10000,,,0,,,10000,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,103608000,,,1619180000,,,1,0,0,0
38,2012Q2,WOORI BANK,11641000,,,1448995000,,,48980000,,,0,,,200000000,,,57637000,,,21798000,,,1789051000,,,1605201000,,,11160000,,,162748000,,,162748000,,,24867000,,,2950000,,,134931000,,,0,,,0,,,0,,,0,,,,,,0,,,9942000,,,1789051000,,,1,0,0,0
39,2012Q2,AXIS BANK LIMITED,157084700000,,,24762000000,,,565746700000,,,308959000000,,,1416919300000,,,22681700000,,,97275600000,,,2593429000000,,,4142900000,,,235675300000,,,2112116200000,,,2006077300000,,,319159200000,,,474192300000,,,914529600000,,,103405800000,,,194790400000,,,106038900000,,,106038900000,,,,,,147656300000,,,93838300000,,,2593429000000,,,0,1,0,0
